Sun Mar 29 12:25:36 CEST 2020: ---------Ö------------3-------------------------
Building population..
0 1000000 2000000 3000000 4000000 5000000 6000000 7000000 8000000 9000000 10000000 11000000 12000000 13000000 14000000 15000000 16000000 17000000 18000000 19000000 20000000 21000000 22000000 23000000 24000000 25000000 26000000 27000000 28000000 29000000 30000000 31000000 32000000 33000000 34000000 35000000 36000000 37000000 38000000 39000000 40000000 41000000 42000000 43000000 44000000 45000000 46000000 47000000 48000000 49000000 50000000 51000000 52000000 53000000 54000000 55000000 56000000 57000000 58000000 59000000 60000000 61000000 62000000 63000000 64000000 65000000 66000000 67000000 68000000 69000000 70000000 71000000 72000000 73000000 74000000 75000000 76000000 77000000 78000000 79000000 80000000 81000000 82000000 
Sun Mar 29 12:26:19 CEST 2020: Datum, Betroffen, Erkrankt, Immun, Krankenhaus, Intensivstation, Gestorben, Positiv getestet, Gesamt getestet
30.01. , 245 , 245 , 0 , 0 , 0 , 0 , 0 , 1000 , false, 0, 0.30000000000000004
31.01. , 313 , 313 , 0 , 0 , 0 , 0 , 0 , 2000 , false, 1, 0.30000000000000004
01.02. , 402 , 402 , 0 , 0 , 0 , 0 , 0 , 3000 , false, 2, 0.30000000000000004
02.02. , 533 , 533 , 0 , 0 , 0 , 0 , 0 , 4000 , false, 3, 0.30000000000000004
03.02. , 695 , 695 , 0 , 0 , 0 , 0 , 1 , 5000 , false, 4, 0.30000000000000004
04.02. , 907 , 907 , 0 , 0 , 0 , 0 , 2 , 6000 , false, 5, 0.30000000000000004
05.02. , 1196 , 1196 , 0 , 0 , 0 , 0 , 3 , 7000 , false, 6, 0.30000000000000004
06.02. , 1549 , 1549 , 0 , 0 , 0 , 0 , 4 , 8000 , false, 7, 0.30000000000000004
07.02. , 2004 , 2004 , 0 , 6 , 0 , 0 , 5 , 9000 , false, 8, 0.30000000000000004
08.02. , 2612 , 2612 , 0 , 7 , 0 , 0 , 6 , 10000 , false, 9, 0.30000000000000004
09.02. , 3389 , 3385 , 4 , 6 , 2 , 0 , 7 , 11500 , false, 10, 0.30000000000000004
10.02. , 4415 , 4410 , 5 , 9 , 2 , 0 , 8 , 13000 , false, 11, 0.30000000000000004
11.02. , 5781 , 5775 , 6 , 11 , 2 , 0 , 10 , 14500 , false, 12, 0.30000000000000004
12.02. , 7576 , 7568 , 8 , 16 , 3 , 0 , 12 , 16000 , false, 13, 0.30000000000000004
13.02. , 9929 , 9921 , 8 , 19 , 5 , 0 , 15 , 17500 , false, 14, 0.30000000000000004
14.02. , 11629 , 11616 , 13 , 23 , 6 , 0 , 18 , 19000 , false, 15, 0.17599999999999993
15.02. , 13736 , 13718 , 18 , 37 , 6 , 0 , 22 , 20500 , false, 16, 0.17599999999999993
16.02. , 16172 , 16149 , 23 , 50 , 6 , 0 , 27 , 22000 , false, 17, 0.17599999999999993
17.02. , 18893 , 18618 , 275 , 59 , 5 , 2 , 32 , 23500 , false, 18, 0.17599999999999993
18.02. , 22128 , 21775 , 353 , 71 , 7 , 2 , 38 , 25000 , false, 19, 0.17599999999999993
19.02. , 25993 , 25544 , 449 , 98 , 9 , 2 , 50 , 27500 , false, 20, 0.17599999999999993
20.02. , 30494 , 29904 , 590 , 135 , 10 , 2 , 64 , 30000 , false, 21, 0.17599999999999993
21.02. , 35711 , 34936 , 775 , 169 , 14 , 2 , 81 , 32500 , false, 22, 0.17599999999999993
22.02. , 41874 , 40864 , 1010 , 196 , 24 , 2 , 101 , 35000 , false, 23, 0.17599999999999993
23.02. , 49083 , 47755 , 1328 , 218 , 30 , 2 , 124 , 37500 , false, 24, 0.17599999999999993
24.02. , 57471 , 55765 , 1706 , 252 , 38 , 2 , 151 , 40000 , false, 25, 0.17599999999999993
25.02. , 67281 , 65110 , 2171 , 314 , 42 , 2 , 182 , 42500 , false, 26, 0.17599999999999993
26.02. , 78694 , 75894 , 2800 , 372 , 50 , 2 , 219 , 45000 , false, 27, 0.17599999999999993
27.02. , 91802 , 88179 , 3623 , 432 , 60 , 3 , 261 , 47500 , false, 28, 0.17599999999999993
28.02. , 107293 , 102602 , 4691 , 496 , 72 , 3 , 310 , 50000 , false, 29, 0.17599999999999993
29.02. , 125205 , 119123 , 6082 , 572 , 89 , 4 , 425 , 55000 , false, 30, 0.17599999999999993
01.03. , 146056 , 138149 , 7907 , 674 , 95 , 7 , 558 , 60000 , false, 31, 0.17599999999999993
02.03. , 170274 , 159978 , 10296 , 796 , 116 , 9 , 712 , 65000 , false, 32, 0.17599999999999993
03.03. , 198126 , 186078 , 12048 , 903 , 143 , 11 , 891 , 70000 , false, 33, 0.17599999999999993
04.03. , 230418 , 216181 , 14237 , 1042 , 181 , 12 , 1099 , 75000 , false, 34, 0.17599999999999993
05.03. , 256848 , 240100 , 16748 , 1222 , 205 , 13 , 1330 , 80000 , false, 35, 0.12400000000000011
06.03. , 286246 , 266694 , 19552 , 1437 , 237 , 15 , 1587 , 85000 , false, 36, 0.12400000000000011
07.03. , 318951 , 296060 , 22891 , 1693 , 274 , 20 , 1872 , 90000 , false, 37, 0.12400000000000011
08.03. , 354990 , 328115 , 26875 , 1943 , 334 , 28 , 2188 , 95000 , false, 38, 0.12400000000000011
09.03. , 394877 , 363322 , 31555 , 2341 , 382 , 30 , 2538 , 100000 , false, 39, 0.12400000000000011
10.03. , 439051 , 402108 , 36943 , 2739 , 436 , 39 , 3391 , 111000 , false, 40, 0.12400000000000011
11.03. , 488236 , 444869 , 43367 , 3150 , 510 , 48 , 4334 , 122000 , false, 41, 0.12400000000000011
12.03. , 542093 , 491283 , 50810 , 3687 , 589 , 65 , 5376 , 133000 , false, 42, 0.12400000000000011
13.03. , 602082 , 542627 , 59455 , 4072 , 700 , 75 , 6527 , 144000 , false, 43, 0.12400000000000011
