Sun Mar 29 17:14:21 CEST 2020: ---------Ö------------2-------------------------
Building population..
0 1000000 2000000 3000000 4000000 5000000 6000000 7000000 8000000 9000000 10000000 11000000 12000000 13000000 14000000 15000000 16000000 17000000 18000000 19000000 20000000 21000000 22000000 23000000 24000000 25000000 26000000 27000000 28000000 29000000 30000000 31000000 32000000 33000000 34000000 35000000 36000000 37000000 38000000 39000000 40000000 41000000 42000000 43000000 44000000 45000000 46000000 47000000 48000000 49000000 50000000 51000000 52000000 53000000 54000000 55000000 56000000 57000000 58000000 59000000 60000000 61000000 62000000 63000000 64000000 65000000 66000000 67000000 68000000 69000000 70000000 71000000 72000000 73000000 74000000 75000000 76000000 77000000 78000000 79000000 80000000 81000000 82000000 
Sun Mar 29 17:15:09 CEST 2020: Datum, Betroffen, Erkrankt, Immun, Krankenhaus, Intensivstation, Gestorben, Positiv getestet, Gesamt getestet
12.03. , 467809 , 423679 , 44130 , 3207 , 509 , 79 , 4643 , 133000 , false, 42, 0.12400000000000011
13.03. , 519103 , 467473 , 51630 , 3521 , 596 , 92 , 5634 , 144000 , false, 43, 0.12400000000000011
14.03. , 575688 , 515249 , 60439 , 3874 , 701 , 102 , 6727 , 155000 , false, 44, 0.12400000000000011
15.03. , 637640 , 567100 , 70540 , 4277 , 787 , 112 , 7930 , 166000 , false, 45, 0.12400000000000011
16.03. , 706185 , 623943 , 82242 , 4728 , 851 , 128 , 9253 , 177000 , false, 46, 0.12400000000000011
17.03. , 781033 , 685050 , 95983 , 5304 , 903 , 151 , 10706 , 188000 , false, 47, 0.12400000000000011
18.03. , 863155 , 751539 , 111616 , 5941 , 977 , 174 , 12300 , 199000 , false, 48, 0.12400000000000011
19.03. , 953100 , 823283 , 129817 , 6591 , 1055 , 204 , 14046 , 210000 , false, 49, 0.12400000000000011
20.03. , 1051324 , 900674 , 150650 , 7325 , 1162 , 226 , 17866 , 232000 , false, 50, 0.12400000000000011
21.03. , 1158196 , 983288 , 174908 , 8142 , 1256 , 261 , 22036 , 254000 , false, 51, 0.12400000000000011
22.03. , 1274821 , 1071865 , 202956 , 9055 , 1330 , 300 , 26582 , 276000 , false, 52, 0.12400000000000011
23.03. , 1403067 , 1177175 , 225892 , 10073 , 1460 , 341 , 31574 , 298000 , false, 53, 0.12400000000000011
24.03. , 1543877 , 1292141 , 251736 , 11204 , 1634 , 374 , 37054 , 320000 , false, 54, 0.12400000000000011
25.03. , 1635838 , 1355509 , 280329 , 12381 , 1837 , 416 , 42803 , 342000 , false, 55, 0.07390000000000008
26.03. , 1731750 , 1419624 , 312126 , 13630 , 2081 , 457 , 48824 , 364000 , false, 56, 0.07390000000000008
27.03. , 1831621 , 1484142 , 347479 , 15033 , 2256 , 506 , 55118 , 386000 , false, 57, 0.07390000000000008
28.03. , 1935926 , 1549661 , 386265 , 16527 , 2463 , 564 , 60047 , 408000 , false, 58, 0.07390000000000008
29.03. , 2044584 , 1615442 , 429142 , 18240 , 2674 , 635 , 65185 , 430000 , false, 59, 0.07390000000000008
30.03. , 2157609 , 1681684 , 475925 , 20118 , 2920 , 708 , 71263 , 455000 , false, 60, 0.07390000000000008
31.03. , 2274397 , 1746407 , 527990 , 22120 , 3198 , 779 , 77575 , 480000 , false, 61, 0.07390000000000008
01.04. , 2395224 , 1809784 , 585440 , 24402 , 3472 , 861 , 84116 , 505000 , false, 62, 0.07390000000000008
02.04. , 2520324 , 1872074 , 648250 , 25591 , 3800 , 947 , 90883 , 530000 , false, 63, 0.07390000000000008
03.04. , 2648967 , 1931213 , 717754 , 26802 , 4160 , 1069 , 97863 , 555000 , false, 64, 0.07390000000000008
04.04. , 2781753 , 1988998 , 792755 , 28381 , 4265 , 1174 , 105052 , 580000 , false, 65, 0.07390000000000008
05.04. , 2917563 , 2042511 , 875052 , 29975 , 4316 , 1293 , 112435 , 605000 , false, 66, 0.07390000000000008
06.04. , 3056528 , 2091434 , 965094 , 31565 , 4395 , 1428 , 119994 , 630000 , false, 67, 0.07390000000000008
07.04. , 3198004 , 2134666 , 1063338 , 33390 , 4419 , 1557 , 127710 , 655000 , false, 68, 0.07390000000000008
08.04. , 3342110 , 2172069 , 1170041 , 35199 , 4433 , 1703 , 135561 , 680000 , false, 69, 0.07390000000000008
09.04. , 3487532 , 2201010 , 1286522 , 37056 , 4408 , 1882 , 143516 , 705000 , false, 70, 0.07390000000000008
10.04. , 3633364 , 2218852 , 1414512 , 38907 , 4336 , 2072 , 151536 , 730000 , false, 71, 0.07390000000000008
11.04. , 3779516 , 2224668 , 1554848 , 40818 , 4186 , 2279 , 159577 , 755000 , false, 72, 0.07390000000000008
12.04. , 3929977 , 2282861 , 1647116 , 42792 , 4363 , 2427 , 167828 , 780000 , false, 73, 0.07390000000000008
13.04. , 4083565 , 2340220 , 1743345 , 45019 , 4511 , 2553 , 176287 , 805000 , false, 74, 0.07390000000000008
