Sun Mar 29 00:05:34 CET 2020: ---------Ö------------3-------------------------
Building population..
0 1000000 2000000 3000000 4000000 5000000 6000000 7000000 8000000 
Sun Mar 29 00:05:38 CET 2020: Datum, Betroffen, Erkrankt, Immun, Krankenhaus, Intensivstation, Gestorben, Positiv getestet, Gesamt getestet
30.01. , 254 , 254 , 0 , 0 , 0 , 0 , 0 , 1000 , false, 0, 0.30000000000000004
31.01. , 340 , 340 , 0 , 0 , 0 , 0 , 0 , 2000 , false, 1, 0.30000000000000004
01.02. , 425 , 425 , 0 , 0 , 0 , 0 , 1 , 3000 , false, 2, 0.30000000000000004
02.02. , 550 , 550 , 0 , 0 , 0 , 0 , 2 , 4000 , false, 3, 0.30000000000000004
03.02. , 724 , 724 , 0 , 0 , 0 , 0 , 3 , 5000 , false, 4, 0.30000000000000004
04.02. , 925 , 925 , 0 , 0 , 0 , 0 , 5 , 6000 , false, 5, 0.30000000000000004
05.02. , 1216 , 1216 , 0 , 0 , 0 , 0 , 7 , 7000 , false, 6, 0.30000000000000004
06.02. , 1581 , 1581 , 0 , 0 , 0 , 0 , 10 , 8000 , false, 7, 0.30000000000000004
07.02. , 2063 , 2063 , 0 , 5 , 0 , 0 , 14 , 9000 , false, 8, 0.30000000000000004
08.02. , 2703 , 2703 , 0 , 8 , 0 , 0 , 19 , 10000 , false, 9, 0.30000000000000004
09.02. , 3487 , 3485 , 2 , 6 , 3 , 0 , 29 , 11500 , false, 10, 0.30000000000000004
10.02. , 4522 , 4519 , 3 , 6 , 5 , 0 , 42 , 13000 , false, 11, 0.30000000000000004
11.02. , 5901 , 5898 , 3 , 12 , 6 , 0 , 59 , 14500 , false, 12, 0.30000000000000004
12.02. , 7691 , 7686 , 5 , 16 , 6 , 0 , 81 , 16000 , false, 13, 0.30000000000000004
13.02. , 10059 , 10048 , 11 , 18 , 7 , 0 , 110 , 17500 , false, 14, 0.30000000000000004
14.02. , 11857 , 11844 , 13 , 21 , 9 , 0 , 144 , 19000 , false, 15, 0.17599999999999993
15.02. , 13978 , 13963 , 15 , 26 , 10 , 0 , 184 , 20500 , false, 16, 0.17599999999999993
16.02. , 16434 , 16416 , 18 , 39 , 12 , 0 , 231 , 22000 , false, 17, 0.17599999999999993
